host_id	host_isolates	min_host_isolates_dis	max_host_isolates_dis	host_mrca_node	outgroup_isolate	outgroup_snp_dis
01397178-fa4b-446d-80ea-ed8b35e6448d_lineage2.2.1_strain1	SRR13232492;SRR13232493;SRR13232674	0	0	node11759	SRR10397136	25
0360dd8c-8f35-4cfe-bc74-8209bf62a749_lineage2.2.1_strain1	SRR10380021;SRR3743384	0	0	node11035	SRR10379898	28
04279764-7a97-45c4-a6d6-b12fda1fb0f8_lineage2.2.1_strain1	SRR1158929;SRR1159167	0	0	node8296	SRR5486885	18
06b091f4-d2cd-4a44-9e5f-1ccdca71dd71_lineage2.2.1_strain1	SRR3743373;SRR6807681	6	6	node7683	SRR5153841	32
07836591-e11a-4809-8893-94c3b423e8b2_lineage2.2.1_strain1	SRR3743492;SRR6807763	4	4	node6451	SRR10379969	14
0b56b650-1567-4120-9f99-d9d9f2062ade_lineage2.2.1_strain1	SRR7516372;SRR7516375	0	0	node8083	SRR7516338	14
0cb877e3-4ab6-4622-90b5-31e29491966c_lineage2.2.1_strain1	SRR13232505;SRR13232778	5	5	node11367	SRR13232460	11
0e88cecd-1491-47fd-8959-5e888b4d9144_lineage2.2.1_strain1	SRR13232512;SRR13232700;SRR13232763	0	0	node11456	SRR13232754	11
158a815c-bc74-4841-b4d0-23305046dd15_lineage2.2.1_strain1	SRR13232750;SRR13232765;SRR13232780	0	0	node10906	SRR6458456	11
173881fe-58f4-449a-97b3-7bdb8bc25410_lineage2.2.1_strain1	SRR1163025;SRR1163121	0	0	node11241	SRR1169132	14
174b45a1-798b-4348-8c86-84992eb6363d_lineage2.2.1_strain1	SRR7516338;SRR7516339	0	0	node8073	SRR11033701	66
1757e462-bc01-48bb-94c3-fdbc9d277756_lineage2.2.1_strain1	SRR13232732;SRR13232733	0	0	node10446	SRR10303337	14
1828ec9b-0651-423c-a31a-fa04289d7582_lineage2.2.1_strain1	SRR10397182;SRR7516358	0	0	node10202	SRR13232408	14
1e93d0f8-4bd2-4423-b418-7cd49b7487b8_lineage2.2.1_strain1	SRR6458403;SRR6458412;SRR6458460	0	0	node11205	SRR13232684	12
2110f02b-36a4-4b54-93d9-761cec018a33_lineage2.2.1_strain1	SRR3743407;SRR6807760	0	0	node6482	SRR10379977	14
21e2beda-b33b-4acb-9633-91f991274a86_lineage2.2.1_strain1	SRR13312523;SRR13312524;SRR13312526;SRR13312527;SRR13312528;SRR13312529;SRR5153322;SRR7516340	0	3	node6661	SRR5153326	13
234e74df-9904-418d-8252-7a02c6a4ecb7_lineage2.2.1_strain1	SRR3743375;SRR6807686	1	1	node10798	SRR6356987	38
23b28df4-696e-4358-819e-b1c5b9940c74_lineage2.2.1_strain1	SRR10380114;SRR10380115	1	1	node7908	SRR10380140	15
24c6e10a-fc34-4057-b6b4-b51e1475f3be_lineage2.2.1_strain1	SRR13232782;SRR13232783	0	0	node6577	SRR13232442	32
26613860-bbe2-45ad-ae8e-48e12e26730d_lineage2.2.1_strain1	SRR7516352;SRR7516355	0	0	node7488	SRR16088017	20
280f46a5-7f33-407b-9e1d-e37f1d1f879b_lineage2.2.1_strain1	SRR13232521;SRR13232522	3	3	node8219	SRR13232785	23
2951753f-3c56-4d1f-a27c-b5c19ef0891b_lineage2.2.1_strain1	SRR10380249;SRR10380250	0	0	node7289	SRR10380145	12
299e91a6-ab5d-4a35-83c3-8e4f83952d13_lineage2.2.1_strain1	SRR7516325;SRR7516326	0	0	node8079	SRR7516375	21
29ef5100-41d6-42c0-b039-90c3f79c269e_lineage2.2.1_strain1	SRR7516380;SRR7516384;SRR7516385;SRR7516386;SRR7516387	0	0	node8579	SRR10397112	17
2c5916d1-18c8-46f1-b126-235a62fab14d_lineage2.2.1_strain1	SRR13232689;SRR13232694	0	0	node10432	SRR13232673	17
2e8369da-2ce6-4d56-9cdc-de107eefdc95_lineage2.2.1_strain1	SRR10380104;SRR10380105	3	3	node8639	SRR3743393	15
304dca9c-1beb-4ab8-a83f-c0c95587fbe0_lineage2.2.1_strain1	SRR13232516;SRR13232758	0	0	node8509	SRR6458401	12
32348ea2-cfc7-4b7f-8172-5c40b2c81647_lineage2.2.1_strain1	SRR5153221;SRR5153265	0	0	node11700	SRR5153318	20
334b8b20-63c2-44ec-a8f3-3feeea4a41c0_lineage2.2.1_strain1	SRR13232511;SRR13232519	0	0	node11540	SRR1162542	13
373d6594-9ba8-468d-a59b-9e8b9a6fdace_lineage2.2.1_strain1	SRR3544727;SRR5153276	0	0	node10636	SRR7655786	11
39ec59d6-8f9c-470c-a4ff-95fbfd5e4add_lineage2.2.1_strain1	SRR10379946;SRR10379947	5	5	node7095	SRR11033750	12
3a4a5a99-b9c7-44bf-a6fb-3f43c4ce31df_lineage2.2.1_strain1	SRR7516304;SRR7516305	0	0	node8460	SRR10380248	26
